SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,LACKS_PLUS_MINUS
LART:D250.:01Q,ACADEMIC READING AND WRITING,Julie Wilson,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,2021,0
LART:D250.:02Q,ACADEMIC READING AND WRITING,Maryalice Bonilla,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Summer,2021,0
MATH:D001A:05Z,CALCULUS,Jennifer Gutierrez,,0,13,6,5,4,0,2,0,0,0,1,0,0,2,Summer,2021,0
MATH:D001A:20Z,CALCULUS,Neelam Shukla,,0,25,9,1,0,1,0,0,0,0,0,0,1,4,Summer,2021,0
MATH:D001A:30Z,CALCULUS,Jian Yu Yu,,0,12,2,5,4,6,1,1,0,0,0,0,0,4,Summer,2021,0
MATH:D001A:50Z,CALCULUS,Millia Ison,,0,5,2,3,1,0,2,3,0,0,1,0,8,2,Summer,2021,0
MATH:D001A:52Z,CALCULUS,Lisa Markus,,0,13,2,3,7,1,0,0,0,0,1,0,2,6,Summer,2021,0
MATH:D001A:53Z,CALCULUS,Nahrin Rashid,,8,15,2,0,1,1,1,0,0,0,0,0,1,4,Summer,2021,0
MATH:D001A:55Z,CALCULUS,Nahrin Rashid,,5,18,2,3,0,0,0,0,0,1,0,0,0,3,Summer,2021,0
MATH:D001A:56Z,CALCULUS,Jennifer Gutierrez,,0,8,8,4,8,1,3,4,0,0,0,0,2,1,Summer,2021,0
MATH:D001B:05Z,CALCULUS,Victor Legge,,3,9,2,3,5,2,2,1,0,0,1,0,3,5,Summer,2021,0
MATH:D001B:07Z,CALCULUS,Fatemeh Yarahmadi,,8,9,2,7,1,0,0,1,0,0,0,0,0,4,Summer,2021,0
MATH:D001B:40Z,CALCULUS,Jian Yu Yu,,0,13,5,3,4,3,1,1,0,0,0,0,1,6,Summer,2021,0
MATH:D001B:50Z,CALCULUS,Bijan Sadeghi-Hassanvand,,4,4,3,10,0,0,2,3,0,0,1,0,2,2,Summer,2021,0
MATH:D001B:51Z,CALCULUS,Harmanpal Dhaliwal,,0,7,8,2,7,2,2,2,0,0,0,0,1,5,Summer,2021,0
MATH:D001C:01Z,CALCULUS,Salvador Guerrero,,3,12,5,2,3,1,2,3,0,0,0,0,0,2,Summer,2021,0
MATH:D001C:05Z,CALCULUS,Salvador Guerrero,,4,17,2,1,4,1,3,1,0,0,0,0,0,1,Summer,2021,0
MATH:D001C:07Z,CALCULUS,Jianbo Du,,1,8,4,3,5,1,1,2,0,0,0,0,1,4,Summer,2021,0
MATH:D001C:20Z,CALCULUS,Jianbo Du,,3,7,2,4,1,1,0,6,0,0,1,0,0,5,Summer,2021,0
MATH:D001C:40Z,CALCULUS,Fatemeh Yarahmadi,,3,25,1,1,0,1,0,0,0,0,0,0,0,1,Summer,2021,0
MATH:D001C:50Z,CALCULUS,Harmanpal Dhaliwal,,0,10,5,4,2,0,1,3,0,0,1,0,0,2,Summer,2021,0
MATH:D001D:05Z,CALCULUS,Vinh Kha Nguyen,,10,12,4,4,6,1,0,3,0,0,0,0,0,1,Summer,2021,0
